,counts,id,time,var1,var2,var3,var4,var5,var6
55836,0,CT0013100,2013,43542,482,67,1,0.184262666,0
51321,0,CT0013100,2014,43786,546,66,1,0.184262666,0
46806,0,CT0013100,2015,43979,426,66,1,0.184262666,0
42291,0,CT0013100,2016,43948,276,68,1,0.184262666,0
55837,0,CT0013200,2013,25871,136,41,1,0.184262666,0
51322,0,CT0013200,2014,25877,135,40,1,0.184262666,0
46807,0,CT0013200,2015,25850,148,39,1,0.184262666,0
42292,0,CT0013200,2016,25803,120,38,1,0.184262666,0
55839,0,CT0013400,2013,11954,0,6,1,0.184262666,0
51324,0,CT0013400,2014,11889,0,6,1,0.184262666,0
46809,0,CT0013400,2015,11830,0,6,1,0.184262666,0
42294,0,CT0013400,2016,11787,0,6,1,0.184262666,0
55840,0,CT0013500,2013,125876,1376,283,1,0.184262666,0
51325,0,CT0013500,2014,127385,1381,278,1,0.184262666,0
46810,0,CT0013500,2015,129682,1229,280,1,0.184262666,0
42295,1,CT0013500,2016,130116,1325,267,1,0.184262666,0
55841,0,CT0013700,2013,18561,158,34,1,0.184262666,0
51326,0,CT0013700,2014,18541,179,35,1,0.184262666,0
46811,0,CT0013700,2015,18505,213,35,1,0.184262666,0
42296,0,CT0013700,2016,18337,180,37,1,0.184262666,0
55842,0,CT0013800,2013,52285,468,96,1,0.184262666,0
51327,0,CT0013800,2014,52279,485,105,1,0.184262666,0
46812,0,CT0013800,2015,53058,417,103,1,0.184262666,0
42297,0,CT0013800,2016,52841,309,100,1,0.184262666,0
55843,0,CT0013900,2013,15908,58,19,1,0.184262666,0
51328,0,CT0013900,2014,15790,47,19,1,0.184262666,0
46813,0,CT0013900,2015,15823,39,19,1,0.184262666,0
42298,0,CT0013900,2016,15641,68,17,1,0.184262666,0
55844,0,CT0014000,2013,7758,37,16,1,0.184262666,0
51329,0,CT0014000,2014,7732,56,13,1,0.184262666,0
46814,0,CT0014000,2015,7635,52,14,1,0.184262666,0
42299,1,CT0014000,2016,7570,77,16,1,0.184262666,0
55845,0,CT0014300,2013,35634,281,82,1,0.184262666,0
51330,0,CT0014300,2014,35432,225,80,1,0.184262666,0
46815,0,CT0014300,2015,34910,391,76,1,0.184262666,0
42300,0,CT0014300,2016,34626,584,76,1,0.184262666,0
55846,0,CT0014400,2013,36665,114,74,1,0.184262666,0
51331,0,CT0014400,2014,36701,136,77,1,0.184262666,0
46816,0,CT0014400,2015,36708,238,76,1,0.184262666,0
42301,0,CT0014400,2016,36741,219,75,1,0.184262666,0
55847,0,CT0014600,2013,29104,193,50,1,0.184262666,0
51332,0,CT0014600,2014,29158,248,50,1,0.184262666,0
46817,0,CT0014600,2015,29079,192,48,1,0.184262666,0
42302,0,CT0014600,2016,28915,110,49,1,0.184262666,0
55848,0,CT0014800,2013,45185,145,68,1,0.184262666,0
51333,0,CT0014800,2014,45137,139,70,1,0.184262666,0
46818,0,CT0014800,2015,45054,157,71,1,0.184262666,0
42303,0,CT0014800,2016,44840,161,69,1,0.184262666,0
55849,0,CT0015100,2013,109763,1334,279,1,0.184262666,0
51334,0,CT0015100,2014,109495,1312,271,1,0.184262666,0
46819,0,CT0015100,2015,109044,1458,281,1,0.184262666,0
42304,0,CT0015100,2016,108491,1978,272,1,0.184262666,0
55850,0,CT0015200,2013,19541,149,45,1,0.184262666,0
51335,0,CT0015200,2014,19504,149,47,1,0.184262666,0
46820,0,CT0015200,2015,19407,155,47,1,0.184262666,0
42305,0,CT0015200,2016,19236,184,47,1,0.184262666,0
55851,0,CT0015300,2013,22183,213,38,1,0.184262666,0
51336,0,CT0015300,2014,22161,196,39,1,0.184262666,0
46821,0,CT0015300,2015,21931,175,39,1,0.184262666,0
42306,0,CT0015300,2016,21792,171,39,1,0.184262666,0
55852,0,CT0015500,2013,63276,268,129,1,0.184262666,0
51337,0,CT0015500,2014,63360,247,128,1,0.184262666,0
46822,0,CT0015500,2015,63301,273,126,1,0.184262666,0
42307,0,CT0015500,2016,62979,208,128,1,0.184262666,0
55853,0,CT0015600,2013,55349,366,124,1,0.184262666,0
51338,0,CT0015600,2014,54917,298,123,1,0.184262666,0
46823,0,CT0015600,2015,54741,223,123,1,0.184262666,0
42308,0,CT0015600,2016,54800,323,123,1,0.184262666,0
55854,0,CT0015700,2013,10402,15,14,1,0.184262666,0
51339,0,CT0015700,2014,10417,18,16,1,0.184262666,0
46824,0,CT0015700,2015,10437,21,16,1,0.184262666,0
42309,0,CT0015700,2016,10425,22,16,1,0.184262666,0
55855,0,CT0015800,2013,27279,76,64,1,0.184262666,0
51340,0,CT0015800,2014,27529,80,64,1,0.184262666,0
46825,0,CT0015800,2015,27848,65,64,1,0.184262666,0
42310,0,CT0015800,2016,28198,79,62,1,0.184262666,0
55856,0,CT0015900,2013,26722,121,46,1,0.184262666,0
51341,0,CT0015900,2014,26470,145,47,1,0.184262666,0
46826,0,CT0015900,2015,26390,171,47,1,0.184262666,0
42311,0,CT0015900,2016,26306,76,48,1,0.184262666,0
55857,0,CT0016100,2013,18803,12,44,1,0.184262666,0
51342,0,CT0016100,2014,18807,20,45,1,0.184262666,0
46827,0,CT0016100,2015,18851,14,43,1,0.184262666,0
42312,0,CT0016100,2016,18845,27,45,1,0.184262666,0
55858,0,CT0016200,2013,11019,154,18,1,0.184262666,0
51343,0,CT0016200,2014,10960,89,16,1,0.184262666,0
46828,0,CT0016200,2015,10855,131,19,1,0.184262666,0
42313,0,CT0016200,2016,10750,57,19,1,0.184262666,0
55859,1,CT0016300,2013,17839,239,43,1,0.184262666,0
51344,0,CT0016300,2014,17826,238,44,1,0.184262666,0
46829,0,CT0016300,2015,17807,161,45,1,0.184262666,0
42314,0,CT0016300,2016,17766,156,43,1,0.184262666,0
55860,0,CT0016400,2013,29154,304,49,1,0.184262666,0
51345,0,CT0016400,2014,29154,241,52,1,0.184262666,0
46830,0,CT0016400,2015,29063,261,49,1,0.184262666,0
42315,0,CT0016400,2016,28998,199,54,1,0.184262666,0
55861,0,CT0016500,2013,12560,182,22,1,0.184262666,0
51346,0,CT0016500,2014,12590,137,25,1,0.184262666,0
46831,0,CT0016500,2015,12580,149,26,1,0.184262666,0
42316,0,CT0016500,2016,12543,147,25,1,0.184262666,0
55862,0,CT0016600,2013,16735,25,24,1,0.184262666,0
51347,0,CT0016600,2014,16734,30,24,1,0.184262666,0
46832,0,CT0016600,2015,16719,17,22,1,0.184262666,0
42317,0,CT0016600,2016,16666,32,23,1,0.184262666,0
55863,0,CT0016700,2013,8954,35,25,1,0.184262666,0
51348,0,CT0016700,2014,8945,21,26,1,0.184262666,0
46833,0,CT0016700,2015,8907,8,25,1,0.184262666,0
42318,0,CT0016700,2016,8864,17,23,1,0.184262666,0
55864,0,CT0016900,2013,0,23,84,1,0.184262666,0
51349,0,CT0016900,2014,0,13,82,1,0.184262666,0
46834,0,CT0016900,2015,0,24,86,1,0.184262666,0
42319,0,CT0016900,2016,0,8,87,1,0.184262666,0
55865,0,CT0017000,2013,0,33,70,1,0.184262666,0
51350,0,CT0017000,2014,0,51,68,1,0.184262666,0
46835,0,CT0017000,2015,0,30,72,1,0.184262666,0
42320,0,CT0017000,2016,0,24,77,1,0.184262666,0
55866,0,CT0017100,2013,0,0,5,1,0.184262666,0
51351,0,CT0017100,2014,0,0,5,1,0.184262666,0
46836,0,CT0017100,2015,0,0,5,1,0.184262666,0
42321,0,CT0017100,2016,0,0,5,1,0.184262666,0
55867,0,CT0018500,2013,0,7,679,1,0.184262666,0
51352,0,CT0018500,2014,0,10,685,1,0.184262666,0
46837,0,CT0018500,2015,0,3,37,1,0.184262666,0
42322,0,CT0018500,2016,0,10,34,1,0.184262666,0
55868,0,CT0019000,2013,0,4,21,1,0.184262666,0
51353,0,CT0019000,2014,0,5,21,1,0.184262666,0
46838,0,CT0019000,2015,0,6,20,1,0.184262666,0
42323,0,CT0019000,2016,0,4,19,1,0.184262666,0
55869,0,CT0019100,2013,0,3,17,1,0.184262666,0
51354,0,CT0019100,2014,0,3,16,1,0.184262666,0
46839,0,CT0019100,2015,0,0,16,1,0.184262666,0
42324,0,CT0019100,2016,0,5,14,1,0.184262666,0
55870,0,CT0019200,2013,0,0,14,1,0.184262666,0
51355,0,CT0019200,2014,0,8,14,1,0.184262666,0
46840,0,CT0019200,2015,0,7,15,1,0.184262666,0
